18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 1, Xp 345 | Xp Modification Required: Level 1, Xp 3750
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 18, Xp 2850 | Xp Modification Required: Level 8, Xp 25000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 19, Xp 2850 | Xp Modification Required: Level 8, Xp 25000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 19, Xp 2850 | Xp Modification Required: Level 8, Xp 25000
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 13, Xp 3150 | Xp Modification Required: Level 8, Xp 21250
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 16, Xp 3150 | Xp Modification Required: Level 8, Xp 21250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 16, Xp 3150 | Xp Modification Required: Level 8, Xp 21250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 15, Xp 3365 | Xp Modification Required: Level 8, Xp 20000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 15, Xp 3365 | Xp Modification Required: Level 8, Xp 20000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 1, Xp 4095 | Xp Modification Required: Level 8, Xp 11250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 7, Xp 4095 | Xp Modification Required: Level 8, Xp 11250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 4110 | Xp Modification Required: Level 8, Xp 13750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 17, Xp 4185 | Xp Modification Required: Level 8, Xp 22500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 10, Xp 4355 | Xp Modification Required: Level 8, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 12, Xp 4355 | Xp Modification Required: Level 8, Xp 16250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 12, Xp 4355 | Xp Modification Required: Level 8, Xp 16250
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 8, Xp 4670 | Xp Modification Required: Level 8, Xp 12500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 9, Xp 4670 | Xp Modification Required: Level 8, Xp 12500
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 1, Xp 4800 | Xp Modification Required: Level 8, Xp 15000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 4800 | Xp Modification Required: Level 8, Xp 15000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 13, Xp 4830 | Xp Modification Required: Level 8, Xp 18750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 14, Xp 4830 | Xp Modification Required: Level 8, Xp 18750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 14, Xp 4830 | Xp Modification Required: Level 8, Xp 18750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 13, Xp 5160 | Xp Modification Required: Level 8, Xp 17500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 18, Xp 6470 | Xp Modification Required: Level 8, Xp 23750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 18, Xp 6470 | Xp Modification Required: Level 8, Xp 23750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 7, Xp 6480 | Xp Modification Required: Level 8, Xp 11250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 12, Xp 6740 | Xp Modification Required: Level 8, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 13, Xp 7545 | Xp Modification Required: Level 8, Xp 17500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 13, Xp 7545 | Xp Modification Required: Level 8, Xp 17500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 19, Xp 7620 | Xp Modification Required: Level 8, Xp 25000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 7, Xp 8880 | Xp Modification Required: Level 8, Xp 13750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 9, Xp 8880 | Xp Modification Required: Level 8, Xp 13750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 10, Xp 8880 | Xp Modification Required: Level 8, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 8880 | Xp Modification Required: Level 8, Xp 13750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 1, Xp 9440 | Xp Modification Required: Level 8, Xp 12500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 6, Xp 9440 | Xp Modification Required: Level 8, Xp 12500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 9, Xp 9440 | Xp Modification Required: Level 8, Xp 12500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 9, Xp 9440 | Xp Modification Required: Level 8, Xp 12500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 8, Xp 9570 | Xp Modification Required: Level 8, Xp 15000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 9, Xp 9570 | Xp Modification Required: Level 8, Xp 15000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 10, Xp 9570 | Xp Modification Required: Level 8, Xp 15000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 11, Xp 9570 | Xp Modification Required: Level 8, Xp 15000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 9570 | Xp Modification Required: Level 8, Xp 15000
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 10, Xp 9600 | Xp Modification Required: Level 8, Xp 18750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 14, Xp 9600 | Xp Modification Required: Level 8, Xp 18750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 13, Xp 9930 | Xp Modification Required: Level 8, Xp 17500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 13, Xp 9930 | Xp Modification Required: Level 8, Xp 17500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 19, Xp 10005 | Xp Modification Required: Level 8, Xp 25000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 16, Xp 10305 | Xp Modification Required: Level 8, Xp 21250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 16, Xp 10305 | Xp Modification Required: Level 8, Xp 21250
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 14, Xp 10520 | Xp Modification Required: Level 8, Xp 20000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 15, Xp 10520 | Xp Modification Required: Level 8, Xp 20000
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 15, Xp 10520 | Xp Modification Required: Level 8, Xp 20000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 15, Xp 10520 | Xp Modification Required: Level 8, Xp 20000
18980 Rebirths can glitch on Muscle King Rock | Stats per punch [+5] | Level 20, Xp 11250 | Xp Modification Required: Level 8, Xp 11250
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 20, Xp 11250 | Xp Modification Required: Level 8, Xp 11250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 20, Xp 11250 | Xp Modification Required: Level 8, Xp 11250
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 20, Xp 11250 | Xp Modification Required: Level 8, Xp 11250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 20, Xp 11250 | Xp Modification Required: Level 8, Xp 11250
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 20, Xp 11250 | Xp Modification Required: Level 8, Xp 11250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 20, Xp 11250 | Xp Modification Required: Level 8, Xp 11250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 20, Xp 11250 | Xp Modification Required: Level 8, Xp 11250
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 17, Xp 90 | Xp Modification Required: Level 9, Xp 22500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 17, Xp 90 | Xp Modification Required: Level 9, Xp 22500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 11, Xp 260 | Xp Modification Required: Level 9, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 12, Xp 260 | Xp Modification Required: Level 9, Xp 16250
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 12, Xp 260 | Xp Modification Required: Level 9, Xp 16250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 12, Xp 260 | Xp Modification Required: Level 9, Xp 16250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 12, Xp 260 | Xp Modification Required: Level 9, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 14, Xp 735 | Xp Modification Required: Level 9, Xp 18750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 14, Xp 735 | Xp Modification Required: Level 9, Xp 18750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 16, Xp 1440 | Xp Modification Required: Level 9, Xp 21250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 18, Xp 2375 | Xp Modification Required: Level 9, Xp 23750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 2400 | Xp Modification Required: Level 9, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 9, Xp 2960 | Xp Modification Required: Level 9, Xp 12500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 11, Xp 3090 | Xp Modification Required: Level 9, Xp 15000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 3090 | Xp Modification Required: Level 9, Xp 15000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 14, Xp 3120 | Xp Modification Required: Level 9, Xp 18750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 12, Xp 3450 | Xp Modification Required: Level 9, Xp 17500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 13, Xp 3450 | Xp Modification Required: Level 9, Xp 17500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 13, Xp 3450 | Xp Modification Required: Level 9, Xp 17500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 13, Xp 3450 | Xp Modification Required: Level 9, Xp 17500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 1, Xp 4785 | Xp Modification Required: Level 9, Xp 13750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 8, Xp 4785 | Xp Modification Required: Level 9, Xp 13750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 10, Xp 4785 | Xp Modification Required: Level 9, Xp 13750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 17, Xp 4860 | Xp Modification Required: Level 9, Xp 22500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 12, Xp 5030 | Xp Modification Required: Level 9, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 1, Xp 5345 | Xp Modification Required: Level 9, Xp 12500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 8, Xp 5345 | Xp Modification Required: Level 9, Xp 12500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 10, Xp 5475 | Xp Modification Required: Level 9, Xp 15000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 11, Xp 5475 | Xp Modification Required: Level 9, Xp 15000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 19, Xp 5910 | Xp Modification Required: Level 9, Xp 25000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 19, Xp 5910 | Xp Modification Required: Level 9, Xp 25000
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 15, Xp 6210 | Xp Modification Required: Level 9, Xp 21250
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 15, Xp 6210 | Xp Modification Required: Level 9, Xp 21250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 16, Xp 6210 | Xp Modification Required: Level 9, Xp 21250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 16, Xp 6210 | Xp Modification Required: Level 9, Xp 21250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 14, Xp 6425 | Xp Modification Required: Level 9, Xp 20000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 15, Xp 6425 | Xp Modification Required: Level 9, Xp 20000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 15, Xp 6425 | Xp Modification Required: Level 9, Xp 20000
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 9, Xp 7170 | Xp Modification Required: Level 9, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 7170 | Xp Modification Required: Level 9, Xp 13750
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 16, Xp 7245 | Xp Modification Required: Level 9, Xp 22500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 17, Xp 7245 | Xp Modification Required: Level 9, Xp 22500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 11, Xp 7415 | Xp Modification Required: Level 9, Xp 16250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 12, Xp 7415 | Xp Modification Required: Level 9, Xp 16250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 8, Xp 7730 | Xp Modification Required: Level 9, Xp 12500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 7860 | Xp Modification Required: Level 9, Xp 15000
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 12, Xp 7890 | Xp Modification Required: Level 9, Xp 18750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 13, Xp 7890 | Xp Modification Required: Level 9, Xp 18750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 14, Xp 7890 | Xp Modification Required: Level 9, Xp 18750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 14, Xp 7890 | Xp Modification Required: Level 9, Xp 18750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 14, Xp 7890 | Xp Modification Required: Level 9, Xp 18750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 13, Xp 8220 | Xp Modification Required: Level 9, Xp 17500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 17, Xp 9530 | Xp Modification Required: Level 9, Xp 23750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 18, Xp 9530 | Xp Modification Required: Level 9, Xp 23750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 18, Xp 9530 | Xp Modification Required: Level 9, Xp 23750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 18, Xp 9530 | Xp Modification Required: Level 9, Xp 23750
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 1, Xp 9800 | Xp Modification Required: Level 9, Xp 16250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 12, Xp 9800 | Xp Modification Required: Level 9, Xp 16250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 11, Xp 10605 | Xp Modification Required: Level 9, Xp 17500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 13, Xp 10605 | Xp Modification Required: Level 9, Xp 17500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 13, Xp 10605 | Xp Modification Required: Level 9, Xp 17500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 1, Xp 11940 | Xp Modification Required: Level 9, Xp 13750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 7, Xp 11940 | Xp Modification Required: Level 9, Xp 13750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 10, Xp 11940 | Xp Modification Required: Level 9, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 11940 | Xp Modification Required: Level 9, Xp 13750
18980 Rebirths can glitch on Muscle King Rock | Stats per punch [+5] | Level 20, Xp 12500 | Xp Modification Required: Level 9, Xp 12500
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 20, Xp 12500 | Xp Modification Required: Level 9, Xp 12500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 20, Xp 12500 | Xp Modification Required: Level 9, Xp 12500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 20, Xp 12500 | Xp Modification Required: Level 9, Xp 12500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 20, Xp 12500 | Xp Modification Required: Level 9, Xp 12500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 20, Xp 12500 | Xp Modification Required: Level 9, Xp 12500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 20, Xp 12500 | Xp Modification Required: Level 9, Xp 12500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 20, Xp 12500 | Xp Modification Required: Level 9, Xp 12500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 8, Xp 130 | Xp Modification Required: Level 10, Xp 15000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 10, Xp 130 | Xp Modification Required: Level 10, Xp 15000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 11, Xp 130 | Xp Modification Required: Level 10, Xp 15000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 130 | Xp Modification Required: Level 10, Xp 15000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 14, Xp 160 | Xp Modification Required: Level 10, Xp 18750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 13, Xp 490 | Xp Modification Required: Level 10, Xp 17500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 18, Xp 565 | Xp Modification Required: Level 10, Xp 25000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 19, Xp 565 | Xp Modification Required: Level 10, Xp 25000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 16, Xp 865 | Xp Modification Required: Level 10, Xp 21250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 16, Xp 865 | Xp Modification Required: Level 10, Xp 21250
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 14, Xp 1080 | Xp Modification Required: Level 10, Xp 20000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 15, Xp 1080 | Xp Modification Required: Level 10, Xp 20000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 15, Xp 1080 | Xp Modification Required: Level 10, Xp 20000
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 14, Xp 1900 | Xp Modification Required: Level 10, Xp 22500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 17, Xp 1900 | Xp Modification Required: Level 10, Xp 22500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 17, Xp 1900 | Xp Modification Required: Level 10, Xp 22500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 9, Xp 2070 | Xp Modification Required: Level 10, Xp 16250
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 10, Xp 2070 | Xp Modification Required: Level 10, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 11, Xp 2070 | Xp Modification Required: Level 10, Xp 16250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 12, Xp 2070 | Xp Modification Required: Level 10, Xp 16250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 12, Xp 2070 | Xp Modification Required: Level 10, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 14, Xp 2545 | Xp Modification Required: Level 10, Xp 18750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 14, Xp 2545 | Xp Modification Required: Level 10, Xp 18750
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 17, Xp 2950 | Xp Modification Required: Level 10, Xp 25000
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 19, Xp 2950 | Xp Modification Required: Level 10, Xp 25000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 18, Xp 4185 | Xp Modification Required: Level 10, Xp 23750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 4210 | Xp Modification Required: Level 10, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 4900 | Xp Modification Required: Level 10, Xp 15000
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 14, Xp 4930 | Xp Modification Required: Level 10, Xp 18750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 14, Xp 4930 | Xp Modification Required: Level 10, Xp 18750
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 12, Xp 5260 | Xp Modification Required: Level 10, Xp 17500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 13, Xp 5260 | Xp Modification Required: Level 10, Xp 17500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 13, Xp 5260 | Xp Modification Required: Level 10, Xp 17500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 13, Xp 5260 | Xp Modification Required: Level 10, Xp 17500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 13, Xp 5260 | Xp Modification Required: Level 10, Xp 17500
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 11, Xp 5850 | Xp Modification Required: Level 10, Xp 20000
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 15, Xp 5850 | Xp Modification Required: Level 10, Xp 20000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 1, Xp 6595 | Xp Modification Required: Level 10, Xp 13750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 9, Xp 6595 | Xp Modification Required: Level 10, Xp 13750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 12, Xp 6840 | Xp Modification Required: Level 10, Xp 16250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 12, Xp 6840 | Xp Modification Required: Level 10, Xp 16250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 1, Xp 7285 | Xp Modification Required: Level 10, Xp 15000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 9, Xp 7285 | Xp Modification Required: Level 10, Xp 15000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 11, Xp 7285 | Xp Modification Required: Level 10, Xp 15000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 19, Xp 7720 | Xp Modification Required: Level 10, Xp 25000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 19, Xp 7720 | Xp Modification Required: Level 10, Xp 25000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 15, Xp 8020 | Xp Modification Required: Level 10, Xp 21250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 16, Xp 8020 | Xp Modification Required: Level 10, Xp 21250
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 16, Xp 8020 | Xp Modification Required: Level 10, Xp 21250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 16, Xp 8020 | Xp Modification Required: Level 10, Xp 21250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 15, Xp 8235 | Xp Modification Required: Level 10, Xp 20000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 15, Xp 8235 | Xp Modification Required: Level 10, Xp 20000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 9, Xp 8980 | Xp Modification Required: Level 10, Xp 13750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 17, Xp 9055 | Xp Modification Required: Level 10, Xp 22500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 17, Xp 9055 | Xp Modification Required: Level 10, Xp 22500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 11, Xp 9225 | Xp Modification Required: Level 10, Xp 16250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 12, Xp 9225 | Xp Modification Required: Level 10, Xp 16250
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 10, Xp 9670 | Xp Modification Required: Level 10, Xp 15000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 9670 | Xp Modification Required: Level 10, Xp 15000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 13, Xp 9700 | Xp Modification Required: Level 10, Xp 18750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 14, Xp 9700 | Xp Modification Required: Level 10, Xp 18750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 14, Xp 9700 | Xp Modification Required: Level 10, Xp 18750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 14, Xp 9700 | Xp Modification Required: Level 10, Xp 18750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 13, Xp 10030 | Xp Modification Required: Level 10, Xp 17500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 15, Xp 10620 | Xp Modification Required: Level 10, Xp 20000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 18, Xp 11340 | Xp Modification Required: Level 10, Xp 23750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 18, Xp 11340 | Xp Modification Required: Level 10, Xp 23750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 17, Xp 11440 | Xp Modification Required: Level 10, Xp 22500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 12, Xp 11610 | Xp Modification Required: Level 10, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 12, Xp 12415 | Xp Modification Required: Level 10, Xp 17500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 13, Xp 12415 | Xp Modification Required: Level 10, Xp 17500
18980 Rebirths can glitch on Muscle King Rock | Stats per punch [+5] | Level 20, Xp 13750 | Xp Modification Required: Level 10, Xp 13750
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 20, Xp 13750 | Xp Modification Required: Level 10, Xp 13750
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 20, Xp 13750 | Xp Modification Required: Level 10, Xp 13750
